four,second,therefore,until,example,series,needed,result,best,and,much,life,had,has,people,for,support,time,such,so,feature,take,where,many,s,being,around,world,with,an,as,at,having,to,large,small,more,states,information,its,found,number,also,set,see,be,by,into,up,great,next,high,this,books,could,system,should,become,society,work,after,then,them,they,standard,another,do,the,way,was,usually,can,still,non,not,now,year,that,than,only,between,these,early,using,t,since,very,family,a,less,during,while,used,some,within,similar,e,following,including,times,based,years,written,both,i,well,even,new,first,before,one,modern,seen,said,three,near,is,it,in,if,make,just,form,may,main,earlier,long,were,show,according,those,different,same,problems,again,children,published,two,through,late,part,most,find,point,development,often,others,named,have,like,although,about,but,under,would,must,end,over,each,free,though,however,been,several,no,when,term,name,she,place,given,any,later,without,on,of,or,there,all,what,known,rather,his,him,are,became,called,include,developed,use,from,few,instead,out,their,which,who,he,will,book,because,own,made,other
4,1,1,3,2,0,1,1,1,88,0,2,15,3,0,16,0,4,2,2,0,0,4,2,34,2,0,5,21,10,9,16,2,64,1,1,2,3,0,3,1,2,7,0,0,5,21,4,0,1,0,0,4,2,4,3,0,7,2,11,7,2,3,5,2,1,1,104,1,48,0,0,0,0,15,1,1,13,0,4,2,0,1,5,1,1,0,1,53,0,4,1,4,1,0,0,0,1,4,1,0,0,1,1,1,1,2,8,5,2,4,1,1,1,0,0,8,6,97,0,1,1,0,1,0,0,0,5,1,0,0,1,0,1,1,0,2,6,2,1,0,4,1,0,2,0,0,2,3,0,0,2,8,0,5,0,3,1,1,1,1,4,6,0,1,0,0,1,1,0,2,1,6,1,11,67,2,4,2,1,1,0,43,10,0,0,4,2,3,2,14,2,4,2,5,7,4,35,0,3,5,1,1,3
0,0,0,1,0,0,0,0,0,27,1,0,2,0,2,4,0,0,1,2,1,1,1,1,5,0,2,0,7,1,5,1,0,14,1,1,1,0,0,0,0,0,4,0,0,2,4,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,2,0,0,0,43,0,11,1,1,0,0,2,0,1,3,0,1,1,1,0,1,0,0,0,0,16,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,5,11,15,0,0,1,0,1,1,0,0,7,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,0,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,3,26,7,1,1,0,0,1,0,0,2,2,1,0,0,0,3,0,0,1,4,2,1,1,0,0,0,3,3,2
1,4,1,2,2,20,0,0,0,63,1,0,6,9,0,12,0,12,5,2,0,0,19,3,17,2,4,11,11,7,24,6,0,49,0,0,6,2,1,3,1,1,6,0,0,5,17,2,2,2,2,0,13,4,2,0,0,2,0,0,1,0,2,4,0,1,1,184,1,34,0,0,1,1,4,3,0,10,0,4,1,1,1,0,1,3,1,1,50,2,0,1,3,4,0,4,3,0,3,0,5,1,0,0,4,2,4,3,9,1,6,0,0,0,3,1,32,9,58,4,0,0,0,0,0,0,1,15,6,0,0,1,1,1,0,2,1,4,7,1,1,3,3,2,2,4,0,1,3,4,5,1,3,2,2,1,0,1,4,0,1,3,4,1,1,0,0,6,1,2,1,2,2,1,21,56,7,0,5,0,2,0,0,0,5,0,0,0,1,3,9,0,0,4,5,15,3,3,1,0,0,1,3,5
0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,7,0,0,2,0,0,0,0,2,2,1,0,0,1,2,3,1,0,7,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,11,3,0,2,4,0,1,2,0,0,8,1,2,0,0,0,1,2,0,0,0,25,0,0,0,1,1,1,1,7,2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,15,3,13,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,2,0,0,6,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,17,11,1,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,1
0,1,0,0,1,0,2,0,0,12,0,0,1,1,0,4,1,2,0,0,1,0,2,0,1,0,0,0,4,5,4,4,0,17,2,0,1,0,0,0,0,0,1,0,0,6,3,1,1,0,0,0,3,0,1,1,1,0,0,2,0,0,0,2,0,1,1,45,2,3,0,4,0,0,4,2,0,4,1,3,1,2,0,0,1,0,0,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,0,1,0,0,0,16,7,8,3,1,1,0,2,0,0,0,0,2,0,0,1,5,3,0,0,0,2,0,0,0,2,0,0,1,0,1,0,4,1,0,0,4,1,0,0,0,2,0,0,0,0,1,1,2,5,0,2,0,1,0,1,0,0,10,11,4,4,2,0,0,1,0,0,4,0,1,0,1,2,2,0,0,0,0,5,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,1,1,1,0,0,0,0,0,1,1,0,0,1,1,3,1,0,7,0,0,1,0,0,0,1,0,0,0,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,2,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,2,1,1,2,1,50,3,1,2,6,1,19,0,3,3,6,1,1,3,2,26,0,2,0,9,13,20,9,1,47,0,1,4,0,1,6,2,0,7,3,2,7,23,4,1,0,1,2,13,0,0,2,0,1,6,0,1,0,1,4,0,1,0,135,0,6,1,9,1,1,4,1,0,19,4,3,1,0,0,0,1,0,1,1,58,0,3,0,4,3,0,1,0,0,0,0,0,3,1,2,0,0,0,1,4,1,4,1,0,3,2,0,49,9,50,1,1,2,2,2,0,0,1,0,0,1,0,1,1,1,1,0,0,2,6,0,1,6,1,0,0,1,1,1,5,1,4,1,11,0,2,3,1,0,0,0,3,7,1,0,3,4,1,0,2,1,0,1,1,1,6,67,3,3,4,0,3,1,16,11,16,0,1,1,1,3,5,0,0,4,10,7,5,12,1,4,3,1,2,2
2,0,1,0,0,0,1,1,0,52,0,0,0,4,0,11,0,1,8,1,0,0,1,4,10,1,0,0,7,10,18,1,1,45,1,0,9,1,0,2,3,1,6,0,2,16,7,0,1,1,0,2,4,0,1,1,1,1,1,3,0,0,0,6,1,1,4,62,0,2,1,8,0,1,8,1,1,18,6,1,1,1,0,0,0,0,0,0,41,1,0,2,4,8,2,0,1,0,0,2,0,0,0,3,1,2,2,0,0,0,3,0,1,0,1,1,24,5,45,0,3,1,0,7,0,0,0,1,2,3,2,2,2,1,1,1,0,0,1,0,1,2,1,0,4,2,1,0,7,2,1,6,2,0,1,0,0,4,2,0,1,0,1,2,0,1,1,0,0,1,0,0,1,1,6,70,16,5,4,5,3,0,0,0,15,0,0,5,0,1,4,1,1,2,6,7,4,2,4,0,1,0,0,4
2,3,2,2,3,1,2,1,0,87,1,3,0,12,2,13,2,4,9,1,0,1,2,4,11,2,0,5,17,12,31,6,1,76,6,1,16,2,0,4,0,0,6,2,4,17,19,2,3,0,1,3,33,0,9,1,3,0,1,2,0,6,4,3,1,1,2,193,1,26,1,8,0,0,12,1,2,46,7,2,5,7,5,0,0,4,3,0,49,1,1,0,1,4,3,1,5,0,1,0,2,3,0,0,3,1,3,12,3,2,9,5,2,1,1,0,44,15,86,4,2,0,0,3,2,1,11,6,0,1,4,2,2,1,4,1,1,3,6,1,4,2,1,2,6,2,1,0,8,1,3,2,9,3,8,0,0,5,1,2,0,3,4,0,2,2,4,0,0,2,1,2,2,3,15,137,16,8,10,1,2,0,2,0,16,2,2,2,3,1,13,1,1,2,6,16,1,1,8,2,4,0,1,8
0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,2,0,1,0,0,3,0,0,0,0,4,1,2,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,12,3,0,1,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,2,0,1,0
